,Unnamed: 0,Total_Sales,Year,cleaned_name,curb_weight_lbs,body_style,engine_type,speed_sec,horsepower_hp,length_in,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,vol_cubft,mpg_comb,drivetrain,fuel_typ,trans,class_EPA,engine,fuel
0,0,901463.0,2005,ford f,,Extended Cab Pickup - Short Bed,Gas V8,7.845,277.0,,50.0,29333.6458333333,4.95833333333333,2.29166666666667,138.791666666667,74.6645833333333,27.4041666666667,,17.0,four wheel,"Gas V8, four .6L",four -speed automatic transmission w/OD,,EFI,regular
1,1,705980.0,2005,chevrolet silverado,,Extended Cab Pickup - Short Bed,Gas V8,,297.5,256.2,73.05,28556.7567567568,4.75675675675676,2.27027027027027,140.283783783784,72.7783783783784,29.4594594594595,,17.0,four wheel,"Gas V8, 5.3L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode",,SFI,regular
2,2,431703.0,2005,toyota camry,3238.6,four dr Car,Gas Ifour ,8.48,160.0,189.2,70.7,21212.5,5.0,4.0,107.1,58.7,18.5,102.0,25.0,front wheel,Regular,5-speed automatic transmission w/OD & intelligence (ECTi),Mid-Size,SEFI,regular
3,6,341290.0,2005,toyota corolla,2567.85714285714,four dr Car,Gas Ifour ,8.32,130.0,178.3,66.9,15306.4285714286,5.0,4.0,102.4,58.4428571428571,13.2,89.0,29.0,front wheel,Regular,5-speed manual transmission w/OD,Compact,SEFI,regular
4,9,400543.0,2005,dodge ram,,,,,235.0,,51.0,4061.0,3.0,2.0,120.5,76.6,26.0,,16.0,four wheel,Gas,,,,regular
5,10,369293.0,2005,honda accord,,,,9.2,160.0,189.5,71.5,3330.0,,,107.9,57.1,17.1,194.0,24.0,front wheel,Regular,Automatic 5-spd,Midsize Cars,,regular
6,14,308415.0,2005,honda civic,2594.11111111111,four dr Car,Gas Ifour ,9.91,115.0,175.4,67.5,16985.0,5.0,4.0,103.1,56.7,13.2,262.0,32.0,front wheel,Regular,5-speed manual transmission w/OD,Compact,MPFI,regular
7,21,246481.0,2005,chevrolet impala,3487.0,four dr Car,Gas V6,7.42,240.0,200.0,73.0,25455.0,5.33333333333333,4.0,110.5,57.3,17.0,105.0,22.0,front wheel,Regular,"Transmission, four -speed automatic, electronically controlled with over",Large,SFI,regular
8,24,255371.0,2005,nissan altima,3138.61538461538,four dr Car,Gas Ifour ,6.56,260.0,192.5,70.4,21980.7692307692,5.0,4.0,110.2,57.9,20.0,103.0,23.0,front wheel,Regular,four -speed automatic transmission w/OD,Compact,SMPI,regular
9,29,212667.0,2005,chevrolet cobalt,,,,9.25,145.0,180.3,67.9,2388.0,5.0,4.0,103.3,57.1,13.0,170.0,23.0,front wheel,Premium,Manual 5-spd,Subcompact Cars,,premium
10,32,226771.0,2005,dodge caravan grand caravan,,,,,,,,,,,,,,,,,,,,,
11,33,229488.0,2005,gmc sierra,,Extended Cab Pickup - Short Bed,Gas V8,8.69,292.5,,50.0,28859.53125,4.6875,2.25,140.4375,72.584375,29.5,,18.5,four wheel,"Gas V8, 5.3L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode",,SFI,regular
12,34,239788.0,2005,ford explorer,,Sport Utility,Gas V6,,239.0,41.4,45.4,33128.25,5.0,4.0,113.8,71.4,22.5,,17.5,four wheel,"Gas V6, four .0L",5-speed automatic transmission w/OD,,SEFI,regular
13,35,168831.0,2005,toyota tacoma,,Extended Cab Pickup - Standard Bed,Gas V6,,164.0,,74.6,19866.3157894737,4.05263157894737,2.52631578947368,125.273684210526,68.821052631579,21.0,,23.5,rear wheel,"Gas V6, four .0L",5-speed automatic transmission w/OD,,EFI,regular
14,36,174275.0,2005,honda odyssey,4533.14285714286,"Mini-van, Passenger",Gas V6,8.55,255.0,201.0,77.1,31923.5714285714,7.57142857142857,4.0,118.1,69.8285714285714,21.0,0.0,20.0,front wheel,Regular,5-speed automatic transmission,twoWD Van,MPFI,regular
15,38,184825.0,2005,ford focus,2702.75,four dr Car,Gas Ifour ,8.58,136.0,168.5,66.7,16112.5,5.0,3.5,102.9,56.9166666666667,14.0,188.0,25.0,front wheel,Regular,5-speed manual transmission,Compact,SMPI,regular
16,41,196919.0,2005,ford taurus,3403.25,Station Wagon,Gas V6,6.35,220.0,188.4,70.8,22607.5,6.5,4.0,108.5,56.95,18.0,105.0,20.0,front wheel,Regular,four -speed automatic transmission w/OD,Mid-Size Station Wagon,SMPI,regular
