,Total_Sales,Year,cleaned_name,curb_weight_lbs,speed_sec,horsepower_hp,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,length_in,vol_cubft,mpg_comb,drivetrain,fuel,class,transmission
0,901463.0,2005,ford f,,7.845000000000001,277.0,,29333.64583333333,4.958333333333333,2.2916666666666665,138.79166666666666,74.66458333333328,27.40416666666667,,,17.0,four wheel,gas,,AT
1,705980.0,2005,chevrolet silverado,,,297.5,73.05,28556.75675675676,4.756756756756757,2.27027027027027,140.28378378378378,72.77837837837838,29.45945945945946,,,17.0,four wheel,gas,,DCT
2,431703.0,2005,toyota camry,3238.6,8.48,160.0,70.7,21212.5,5.0,4.0,107.1,58.7,18.5,189.2,102.0,25.0,front wheel,gas,midsize,AT
3,341290.0,2005,toyota corolla,2567.8571428571427,8.32,130.0,66.9,15306.42857142857,5.0,4.0,102.4,58.44285714285714,13.2,178.3,89.0,29.0,front wheel,gas,compact,MT
4,400543.0,2005,dodge ram,,,235.0,51.0,4061.0,3.0,2.0,120.5,76.6,26.0,,,16.0,four wheel,gas,,
5,369293.0,2005,honda accord,,9.2,160.0,71.5,3330.0,,,107.9,57.1,17.1,189.5,194.0,24.0,front wheel,gas,midsize,AT
6,308415.0,2005,honda civic,2594.1111111111118,9.91,115.0,67.5,16985.0,5.0,4.0,103.09999999999997,56.70000000000002,13.199999999999996,175.4,262.0,32.0,front wheel,gas,compact,MT
7,246481.0,2005,chevrolet impala,3487.0,7.42,240.0,73.0,25455.0,5.333333333333333,4.0,110.5,57.29999999999999,17.0,200.0,105.0,22.0,front wheel,gas,large,DCT
8,255371.0,2005,nissan altima,3138.6153846153848,6.56,260.0,70.4,21980.76923076923,5.0,4.0,110.20000000000005,57.899999999999984,20.0,192.5,103.0,23.0,front wheel,gas,compact,AT
9,212667.0,2005,chevrolet cobalt,,9.25,145.0,67.9,2388.0,5.0,4.0,103.3,57.1,13.0,180.3,170.0,23.0,front wheel,gas,subcompact,MT
