,Total_Sales,cleaned_name,curb_weight_lbs,speed_sec,msrp,pass_capacity,doors,wheelbase_in,tank_cap_gal,vol_cubft,mpg_comb,Year,height_in,length_in,width_in,drivetrain,transmission,class,horsepower_hp,hybrid,fuel_type
0,901463.0,ford f,,7.845000000000001,29333.64583333333,4.958333333333333,2.2916666666666665,138.79166666666666,27.40416666666667,,17.0,2005,74.66458333333328,,,four wheel,AT,,277.0,,gas
1,705980.0,chevrolet silverado,,,28556.75675675676,4.756756756756757,2.27027027027027,140.28378378378378,29.45945945945946,,17.0,2005,72.77837837837838,,73.05,four wheel,DCT,,297.5,,gas
2,431703.0,toyota camry,3238.6,8.48,21212.5,5.0,4.0,107.1,18.5,102.0,25.0,2005,58.7,189.2,70.7,front wheel,AT,midsize,160.0,True,Hybrid
5,341290.0,toyota corolla,2567.8571428571427,8.32,15306.42857142857,5.0,4.0,102.4,13.2,89.0,29.0,2005,58.44285714285714,178.3,66.9,front wheel,MT,compact,130.0,True,Hybrid
7,400543.0,dodge ram,,,4061.0,3.0,2.0,120.5,26.0,,16.0,2005,76.6,,51.0,four wheel,,,235.0,,gas
8,369293.0,honda accord,,9.2,3330.0,,,107.9,17.1,194.0,24.0,2005,57.1,189.5,71.5,front wheel,AT,midsize,160.0,,gas
9,308415.0,honda civic,2594.111111111112,9.91,16985.0,5.0,4.0,103.09999999999997,13.199999999999996,262.0,32.0,2005,56.70000000000002,175.4,67.5,front wheel,MT,compact,115.0,,gas
10,246481.0,chevrolet impala,3487.0,7.42,25455.0,5.333333333333333,4.0,110.5,17.0,105.0,22.0,2005,57.29999999999999,200.0,73.0,front wheel,DCT,large,240.0,True,Hybrid
13,255371.0,nissan altima,3138.6153846153848,6.56,21980.76923076923,5.0,4.0,110.20000000000005,20.0,103.0,23.0,2005,57.899999999999984,192.5,70.4,front wheel,AT,compact,260.0,,gas
14,212667.0,chevrolet cobalt,,9.25,2388.0,5.0,4.0,103.3,13.0,170.0,23.0,2005,57.1,180.3,67.9,front wheel,MT,subcompact,145.0,,gas
15,226771.0,dodge caravan grand caravan,,,,,,,,,,2005,,,,,,,,,
16,229488.0,gmc sierra,,8.69,28859.53125,4.6875,2.25,140.4375,29.5,,18.5,2005,72.58437500000001,,,four wheel,DCT,,292.5,,gas
