,Total_Sales,Year,cleaned_name,curb_weight_lbs,ground_clearance_in,class,body_style,engine_type,trans_descr,speed_sec,horsepower_hp,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,length_in,cylinders,lug_vol_cuft,vol_cubft,mpg_comb,drivetrain,fuel_typ,trans,class_EPA,engine
0,901463.0,2005,ford f,,,,Extended Cab Pickup - Short Bed,Gas V8,,7.845000000000001,277.0,50.0,29333.645833333332,4.958333333333333,2.2916666666666665,138.79166666666666,74.66458333333328,27.40416666666667,,,,,17.0,4 Wheel Drive,"Gas V8, 4.6L",4-speed automatic transmission w/OD,,EFI
1,705980.0,2005,chevrolet silverado,,,,Extended Cab Pickup - Short Bed,Gas V8,,,297.5,73.05,28556.756756756757,4.756756756756757,2.27027027027027,140.28378378378378,72.77837837837838,29.45945945945946,256.2,,,,17.0,4-Wheel Drive,"Gas V8, 5.3L","Transmission, 4-speed automatic, electronically controlled with overdrive and tow/haul mode",,SFI
2,431703.0,2005,toyota camry,3238.6,5.7,,4dr Car,Gas I4,,8.48,160.0,70.7,21212.5,5.0,4.0,107.1,58.7,18.5,189.2,4.0,17.0,102.0,25.0,Front Wheel Drive,"Gas I4, 2.4L",5-speed automatic transmission w/OD & intelligence (ECTi),Mid-Size,SEFI
6,341290.0,2005,toyota corolla,2567.8571428571427,5.700000000000001,,4dr Car,Gas I4,,8.32,130.0,66.9,15306.42857142857,5.0,4.0,102.39999999999999,58.44285714285714,13.200000000000001,178.3,4.0,14.0,89.0,29.0,Front Wheel Drive,"Gas I4, 1.8L",5-speed manual transmission w/OD,Compact,SEFI
9,400543.0,2005,dodge ram,,,,,,,,235.0,51.0,4061.0,3.0,2.0,120.5,76.6,26.0,,,,,16.0,Four Wheel Drive ,Gas,,,
10,369293.0,2005,honda accord,,,,,,,9.2,160.0,71.5,3330.0,,,107.9,57.1,17.1,189.5,4.0,27.0,194.0,24.0, Front wheel drive  ,Gas,Automatic 5-spd,Midsize Cars,
14,308415.0,2005,honda civic,2594.1111111111113,,,4dr Car,Gas I4,,9.91,115.0,67.5,16985.0,5.0,4.0,103.09999999999997,56.70000000000002,13.199999999999996,175.4,4.0,39.0,262.0,32.0,Front Wheel Drive,"Gas I4, 1.7L",5-speed manual transmission w/OD,Compact,MPFI
21,246481.0,2005,chevrolet impala,3487.0,,,4dr Car,Gas V6,,7.42,240.0,73.0,25455.0,5.333333333333333,4.0,110.5,57.29999999999999,17.0,200.0,6.0,18.0,105.0,22.0,Front Wheel Drive,"Gas V6, 3.8L","Transmission, 4-speed automatic, electronically controlled with overdrive",Large,SFI
24,255371.0,2005,nissan altima,3138.6153846153848,,,4dr Car,Gas I4,,6.56,260.0,70.4,21980.76923076923,5.0,4.0,110.20000000000003,57.899999999999984,20.0,192.5,4.0,16.0,103.0,23.0,Front Wheel Drive,"Gas I4, 2.5L",4-speed automatic transmission w/OD,Compact,SMPI
29,212667.0,2005,chevrolet cobalt,,,,,,,9.25,145.0,67.9,2388.0,5.0,4.0,103.3,57.1,13.0,180.3,4.0,28.0,170.0,23.0,Front Wheel Drive ,Gas,Manual 5-spd,Subcompact Cars,
